date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:51	80514/80514	---M--	200	added ('OK')	image/jpeg	etag:%2213a82-531eec8cc9ac0%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/05/skolflicka_mobil-500x500.jpg	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/05/skolflicka_mobil-500x500.jpg	(from https://arsredovisning.helsingborg.se/)
14:11:11	80568/80568	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:11:08%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/familjen-helsingborg/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/familjen-helsingborg/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/)
14:11:15	84327/84327	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:11:08%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/namnder-och-styrelser/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/)
14:11:17	80512/80512	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:11:08%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/bolag/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/bolag/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/)
14:11:27	83328/83328	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:11:23%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/efterlyser-mjukare-material-under-klattervaggen/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/efterlyser-mjukare-material-under-klattervaggen/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/)
14:11:30	83247/83247	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:11:24%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/engelsk-badbrygga-pa-strandpromenaden/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/engelsk-badbrygga-pa-strandpromenaden/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/)
14:11:33	83185/83185	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:11:24%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/fler-elljusspar-till-helsingborgarna/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/fler-elljusspar-till-helsingborgarna/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/)
14:11:36	83552/83552	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:11:28%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/jag-saknar-bibliotek-i-paarp/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/jag-saknar-bibliotek-i-paarp/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/)
14:11:42	84135/84135	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202017%2013:11:39%20GMT	https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/vad-hande-med-skateboardramperna-vid-angfarjestationen/	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/vad-hande-med-skateboardramperna-vid-angfarjestationen/index.html	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/verksamhetsoversikter/vi-valkomnar-synpunkter/)
14:12:08	42138037/42138037	---M--	200	added ('OK')	application/pdf	etag:%22282f9b5-54d09f26cecd5%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/04/helsingborgs_stads_arsredovisning_2016.pdf	//Client/C$/Users/shewi1004/Desktop/arsred/Arsredovisning_2016/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/04/helsingborgs_stads_arsredovisning_2016.pdf	(from https://arsredovisning.helsingborg.se/)
