date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:58:27	99042/99042	---M--	200	added ('OK')	image/jpeg	etag:%22182e2-54a1593081384%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/juli_slf044079.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/juli_slf044079.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/aret-som-gatt-stort-och-smatt-2016/juli-augusti-september/)
09:58:28	142298/142298	---M--	200	added ('OK')	image/jpeg	etag:%2222bda-54a15931050e4%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/oktober_74a0714-fotograf-rickard-johnsson-studio-e-cc-by-nc-nd.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/oktober_74a0714-fotograf-rickard-johnsson-studio-e-cc-by-nc-nd.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/aret-som-gatt-stort-och-smatt-2016/oktober-november-december/)
09:58:28	71762/71762	---M--	200	added ('OK')	image/jpeg	etag:%2211852-54a9db4733a8c%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/sff034759.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/sff034759.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/aret-som-gatt-stort-och-smatt-2016/hela-aret/)
09:58:29	159484/159484	---M--	200	added ('OK')	image/jpeg	etag:%2226efc-54a9dbbf1aad0%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/zonen.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/zonen.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/inledning/aret-som-gatt-stort-och-smatt-2016/hela-aret/)
09:58:29	98240/98240	---M--	200	added ('OK')	image/png	etag:%2217fc0-54b66b8fd020b%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/01/helsingborgsstad_flodes-01.png	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/01/helsingborgsstad_flodes-01.png	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/koncernens-organisation/)
09:58:32	117152/117152	---M--	200	added ('OK')	image/jpeg	etag:%221c9a0-54a4cc6f7b61d%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036049-1.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036049-1.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:33	139167/139167	---M--	200	added ('OK')	image/jpeg	etag:%2221f9f-54a4cc723c22b%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036104.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/slf036104.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:33	900159/900159	---M--	200	added ('OK')	application/pdf	etag:%22dbc3f-54a2080e51c58%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/01/helsingborgsstad_flocc88des.pdf	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/01/helsingborgsstad_flocc88des.pdf	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/koncernens-organisation/)
09:58:33	27350/27350	---M--	200	added ('OK')	image/jpeg	etag:%226ad6-54a47ca7b4bcd%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/01/slf036125-min.jpg	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2016/01/slf036125-min.jpg	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/kommunstyrelsens-ledamoter/)
09:58:34	900619/900619	---M--	200	added ('OK')	application/pdf	etag:%22dbe0b-54b66bd2ac07c%22	https://arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/helsingborgsstad_koncernens_organisation.pdf	C:/Mina%20webbsidor/arsred2016ny/arsredovisning.helsingborg.se/wp-content/uploads/sites/18/2017/03/helsingborgsstad_koncernens_organisation.pdf	(from https://arsredovisning.helsingborg.se/forvaltningsberattelse/organisation-och-styrning/koncernens-organisation/)
